"filename", "language", "Go", "MS SQL", "XML", "comment", "blank", "total"
"/Users/lidongyuan/Desktop/vue/chat/server/cmd/api/main.go", "Go", 154, 0, 0, 35, 22, 211
"/Users/lidongyuan/Desktop/vue/chat/server/go.mod", "XML", 0, 0, 20, 0, 4, 24
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/admin_groups_handlers.go", "Go", 99, 0, 0, 6, 13, 118
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/admin_handlers.go", "Go", 538, 0, 0, 72, 44, 654
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/admin_redeem_handlers.go", "Go", 129, 0, 0, 15, 12, 156
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/admin_uploads.go", "Go", 184, 0, 0, 91, 18, 293
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/admin_uploads_test.go", "Go", 34, 0, 0, 0, 5, 39
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/audio_handlers.go", "Go", 107, 0, 0, 14, 12, 133
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/auth_handlers.go", "Go", 389, 0, 0, 48, 37, 474
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/conversations_handlers.go", "Go", 368, 0, 0, 44, 21, 433
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/errors.go", "Go", 11, 0, 0, 0, 4, 15
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/files_handlers.go", "Go", 290, 0, 0, 73, 15, 378
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/kbs_handlers.go", "Go", 124, 0, 0, 7, 10, 141
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/memories_handlers.go", "Go", 75, 0, 0, 4, 9, 88
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/messages_handlers.go", "Go", 284, 0, 0, 31, 14, 329
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/middleware.go", "Go", 246, 0, 0, 55, 20, 321
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/models_handlers.go", "Go", 80, 0, 0, 12, 10, 102
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/mux.go", "Go", 88, 0, 0, 3, 14, 105
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/oauth_handlers.go", "Go", 277, 0, 0, 38, 32, 347
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/projects_handlers.go", "Go", 189, 0, 0, 11, 13, 213
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/redeem_handlers.go", "Go", 47, 0, 0, 17, 6, 70
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/router.go", "Go", 184, 0, 0, 36, 17, 237
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/session_handlers.go", "Go", 59, 0, 0, 11, 7, 77
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/share_handlers.go", "Go", 84, 0, 0, 13, 10, 107
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/twofa_handlers.go", "Go", 142, 0, 0, 22, 14, 178
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/upload_policy.go", "Go", 111, 0, 0, 83, 12, 206
"/Users/lidongyuan/Desktop/vue/chat/server/internal/api/user_handlers.go", "Go", 156, 0, 0, 17, 14, 187
"/Users/lidongyuan/Desktop/vue/chat/server/internal/auth/auth.go", "Go", 105, 0, 0, 18, 14, 137
"/Users/lidongyuan/Desktop/vue/chat/server/internal/auth/totp.go", "Go", 75, 0, 0, 12, 11, 98
"/Users/lidongyuan/Desktop/vue/chat/server/internal/auth/totp_test.go", "Go", 28, 0, 0, 5, 4, 37
"/Users/lidongyuan/Desktop/vue/chat/server/internal/cache/cache.go", "Go", 167, 0, 0, 11, 16, 194
"/Users/lidongyuan/Desktop/vue/chat/server/internal/cache/redis.go", "Go", 121, 0, 0, 18, 15, 154
"/Users/lidongyuan/Desktop/vue/chat/server/internal/config/config.go", "Go", 153, 0, 0, 17, 8, 178
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/anthropic_provider.go", "Go", 504, 0, 0, 67, 27, 598
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/compaction.go", "Go", 266, 0, 0, 69, 20, 355
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/deep_research.go", "Go", 549, 0, 0, 72, 50, 671
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/google_provider.go", "Go", 361, 0, 0, 38, 18, 417
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/httpclient.go", "Go", 17, 0, 0, 10, 3, 30
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/memory_worker.go", "Go", 244, 0, 0, 64, 24, 332
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/moderation.go", "Go", 134, 0, 0, 24, 12, 170
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/openai_provider.go", "Go", 795, 0, 0, 97, 30, 922
"/Users/lidongyuan/Desktop/vue/chat/server/internal/llm/openai_responses_test.go", "Go", 43, 0, 0, 4, 4, 51
